sku,priceCents,nome,compareAtCents,shortBenefit,description,seoTitle,seoDescription
MJOY-0019,8590,Quercetina 500 mg,,Fórmula manipulada para apoiar imunidade. Qualidade e entrega nacional.,"Quercetina 500 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Quercetina 500 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Quercetina 500 mg | MeJoy,Quercetina 500 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0020,6590,Ômega-3 (EPA/DHA),,Fórmula manipulada para apoiar articulações. Qualidade e entrega nacional.,"Ômega-3 (EPA/DHA) é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Ômega-3 (EPA/DHA). Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Ômega-3 (EPA/DHA) | MeJoy,Ômega-3 (EPA/DHA). Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0021,8590,Colágeno Hidrolisado,,Fórmula manipulada para apoiar pele & beleza. Qualidade e entrega nacional.,"Colágeno Hidrolisado é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Colágeno Hidrolisado. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Colágeno Hidrolisado | MeJoy,Colágeno Hidrolisado. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0022,7990,Biotina 5 mg,,Fórmula manipulada para apoiar pele & beleza. Qualidade e entrega nacional.,"Biotina 5 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Biotina 5 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Biotina 5 mg | MeJoy,Biotina 5 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0023,7990,Zinco 30 mg,,Fórmula manipulada para apoiar imunidade. Qualidade e entrega nacional.,"Zinco 30 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Zinco 30 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Zinco 30 mg | MeJoy,Zinco 30 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0024,6590,Vitamina C 1000 mg,,Fórmula manipulada para apoiar imunidade. Qualidade e entrega nacional.,"Vitamina C 1000 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Vitamina C 1000 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Vitamina C 1000 mg | MeJoy,Vitamina C 1000 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0025,6590,Creatina Monohidratada 200 g,,Fórmula manipulada para apoiar energia & performance. Qualidade e entrega nacional.,"Creatina Monohidratada 200 g é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Creatina Monohidratada 200 g. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Creatina Monohidratada 200 g | MeJoy,Creatina Monohidratada 200 g. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0026,6590,Beta Alanina 3.2 g,,Fórmula manipulada para apoiar energia & performance. Qualidade e entrega nacional.,"Beta Alanina 3.2 g é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Beta Alanina 3.2 g. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Beta Alanina 3.2 g | MeJoy,Beta Alanina 3.2 g. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0027,7290,Psyllium 300 g,,Fórmula manipulada para apoiar emagrecimento & metabolismo. Qualidade e entrega nacional.,"Psyllium 300 g é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Psyllium 300 g. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Psyllium 300 g | MeJoy,Psyllium 300 g. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0028,6590,Glutamina 300 g,,Fórmula manipulada para apoiar intestino. Qualidade e entrega nacional.,"Glutamina 300 g é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Glutamina 300 g. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Glutamina 300 g | MeJoy,Glutamina 300 g. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0029,7990,Valeriana 300 mg,,Fórmula manipulada para apoiar sono. Qualidade e entrega nacional.,"Valeriana 300 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Valeriana 300 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Valeriana 300 mg | MeJoy,Valeriana 300 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0030,6590,Passiflora 300 mg,,Fórmula manipulada para apoiar sono. Qualidade e entrega nacional.,"Passiflora 300 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Passiflora 300 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Passiflora 300 mg | MeJoy,Passiflora 300 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0031,7890,Resveratrol 500 mg,,Fórmula manipulada para apoiar detox & fígado. Qualidade e entrega nacional.,"Resveratrol 500 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Resveratrol 500 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Resveratrol 500 mg | MeJoy,Resveratrol 500 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0032,7990,Citrulina 500 mg,,Fórmula manipulada para apoiar energia & performance. Qualidade e entrega nacional.,"Citrulina 500 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Citrulina 500 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Citrulina 500 mg | MeJoy,Citrulina 500 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0033,6590,Glutamina 500 mg,,Fórmula manipulada para apoiar intestino. Qualidade e entrega nacional.,"Glutamina 500 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Glutamina 500 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Glutamina 500 mg | MeJoy,Glutamina 500 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0034,6590,Colina 100 mg,,Fórmula manipulada para apoiar detox & fígado. Qualidade e entrega nacional.,"Colina 100 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Colina 100 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Colina 100 mg | MeJoy,Colina 100 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0035,6590,Inibidor De Apetite (Fibras) 100 mg,,Fórmula manipulada para apoiar emagrecimento & metabolismo. Qualidade e entrega nacional.,"Inibidor De Apetite (Fibras) 100 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Inibidor De Apetite (Fibras) 100 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Inibidor De Apetite (Fibras) 100 mg | MeJoy,Inibidor De Apetite (Fibras) 100 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0036,6590,Inositol 500 mg,,Fórmula manipulada para apoiar ansiedade & humor. Qualidade e entrega nacional.,"Inositol 500 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Inositol 500 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Inositol 500 mg | MeJoy,Inositol 500 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0037,5590,Taurina 5% + ativos,,Fórmula manipulada para apoiar energia & performance. Qualidade e entrega nacional.,"Taurina 5% + ativos é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Taurina 5% + ativos. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Taurina 5% + ativos | MeJoy,Taurina 5% + ativos. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0038,5590,L-Carnitina 5% + ativos,,Fórmula manipulada para apoiar energia & performance. Qualidade e entrega nacional.,"L-Carnitina 5% + ativos é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: L-Carnitina 5% + ativos. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",L-Carnitina 5% + ativos | MeJoy,L-Carnitina 5% + ativos. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0039,8590,5-HTP,,Fórmula manipulada para apoiar ansiedade & humor. Qualidade e entrega nacional.,"5-HTP é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: 5-HTP. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",5-HTP | MeJoy,5-HTP. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0040,5590,Glicina 5% + ativos,,Fórmula manipulada para apoiar sono. Qualidade e entrega nacional.,"Glicina 5% + ativos é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Glicina 5% + ativos. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Glicina 5% + ativos | MeJoy,Glicina 5% + ativos. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0041,5590,L-Teanina 5% + ativos,,Fórmula manipulada para apoiar sono. Qualidade e entrega nacional.,"L-Teanina 5% + ativos é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: L-Teanina 5% + ativos. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",L-Teanina 5% + ativos | MeJoy,L-Teanina 5% + ativos. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0042,6590,Multivitamínico 100 mg,,Fórmula manipulada para apoiar imunidade. Qualidade e entrega nacional.,"Multivitamínico 100 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Multivitamínico 100 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Multivitamínico 100 mg | MeJoy,Multivitamínico 100 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0043,6590,Glicina 100 mg,,Fórmula manipulada para apoiar sono. Qualidade e entrega nacional.,"Glicina 100 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Glicina 100 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Glicina 100 mg | MeJoy,Glicina 100 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0044,6590,Cactin 500 mg,,Fórmula manipulada para apoiar emagrecimento & metabolismo. Qualidade e entrega nacional.,"Cactin 500 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Cactin 500 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Cactin 500 mg | MeJoy,Cactin 500 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0045,6590,Vitamina D3 5.000 UI,,Fórmula manipulada para apoiar imunidade. Qualidade e entrega nacional.,"Vitamina D3 5.000 UI é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Vitamina D3 5.000 UI. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Vitamina D3 5.000 UI | MeJoy,Vitamina D3 5.000 UI. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0046,6590,Glutamina 100 mg,,Fórmula manipulada para apoiar intestino. Qualidade e entrega nacional.,"Glutamina 100 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Glutamina 100 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Glutamina 100 mg | MeJoy,Glutamina 100 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0047,5590,Taurina 5% + ativos,,Fórmula manipulada para apoiar detox & fígado. Qualidade e entrega nacional.,"Taurina 5% + ativos é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Taurina 5% + ativos. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Taurina 5% + ativos | MeJoy,Taurina 5% + ativos. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0048,5590,Psyllium 300 g,,Fórmula manipulada para apoiar intestino. Qualidade e entrega nacional.,"Psyllium 300 g é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Psyllium 300 g. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Psyllium 300 g | MeJoy,Psyllium 300 g. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0049,6590,Taurina 100 mg,,Fórmula manipulada para apoiar detox & fígado. Qualidade e entrega nacional.,"Taurina 100 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Taurina 100 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Taurina 100 mg | MeJoy,Taurina 100 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0050,6590,Rhodiola Rosea 200 mg,,Fórmula manipulada para apoiar ansiedade & humor. Qualidade e entrega nacional.,"Rhodiola Rosea 200 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Rhodiola Rosea 200 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Rhodiola Rosea 200 mg | MeJoy,Rhodiola Rosea 200 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0051,6590,Creatina 200 g,,Fórmula manipulada para apoiar energia & performance. Qualidade e entrega nacional.,"Creatina 200 g é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Creatina 200 g. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Creatina 200 g | MeJoy,Creatina 200 g. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0052,5590,Glicina 5% + ativos,,Fórmula manipulada para apoiar sono. Qualidade e entrega nacional.,"Glicina 5% + ativos é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Glicina 5% + ativos. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Glicina 5% + ativos | MeJoy,Glicina 5% + ativos. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0053,8590,L-Teanina,,Fórmula manipulada para apoiar sono. Qualidade e entrega nacional.,"L-Teanina é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: L-Teanina. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",L-Teanina | MeJoy,L-Teanina. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0054,6590,Própolis 100 mg,,Fórmula manipulada para apoiar imunidade. Qualidade e entrega nacional.,"Própolis 100 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Própolis 100 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Própolis 100 mg | MeJoy,Própolis 100 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0055,5590,Vitamina D3 5% + ativos,,Fórmula manipulada para apoiar imunidade. Qualidade e entrega nacional.,"Vitamina D3 5% + ativos é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Vitamina D3 5% + ativos. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Vitamina D3 5% + ativos | MeJoy,Vitamina D3 5% + ativos. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0056,7990,Tribulus Terrestris 500 mg (40% saponinas),,Fórmula manipulada para apoiar hormonal & libido. Qualidade e entrega nacional.,"Tribulus Terrestris 500 mg (40% saponinas) é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Tribulus Terrestris 500 mg (40% saponinas). Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Tribulus Terrestris 500 mg (40% saponinas) | MeJoy,Tribulus Terrestris 500 mg (40% saponinas). Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0057,6590,Biotina 5 mg,,Fórmula manipulada para apoiar cabelo. Qualidade e entrega nacional.,"Biotina 5 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Biotina 5 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Biotina 5 mg | MeJoy,Biotina 5 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0058,5590,Melatonina 5% + ativos,,Fórmula manipulada para apoiar sono. Qualidade e entrega nacional.,"Melatonina 5% + ativos é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Melatonina 5% + ativos. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Melatonina 5% + ativos | MeJoy,Melatonina 5% + ativos. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0059,5590,Picolinato De Cromo 5% + ativos,,Fórmula manipulada para apoiar emagrecimento & metabolismo. Qualidade e entrega nacional.,"Picolinato De Cromo 5% + ativos é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Picolinato De Cromo 5% + ativos. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Picolinato De Cromo 5% + ativos | MeJoy,Picolinato De Cromo 5% + ativos. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
MJOY-0060,6590,Rhodiola Rosea 200 mg,,Fórmula manipulada para apoiar ansiedade & humor. Qualidade e entrega nacional.,"Rhodiola Rosea 200 mg é uma fórmula manipulada que pode contribuir para seu bem-estar. Composição: Rhodiola Rosea 200 mg. Use conforme orientação do seu médico ou nutricionista. Manter em local seco, longe da luz. Consulte um profissional de saúde antes do uso.",Rhodiola Rosea 200 mg | MeJoy,Rhodiola Rosea 200 mg. Fórmula manipulada. Entrega em todo Brasil. MeJoy.
