slot_id,route,section,master_asset,crop,copy_side,cta,compliance_note,replaces_current_asset
MJY-EMO-019,/emagrecimento,lp_tailored_metabolism,/mejoyimagens/mejoy5.jpg,1:1|4:5|16:9,right,Entender o plano,"Rotina real, luz natural, sem teatralidade.",/images/emagrecimento/lp-pdf/tailored-metabolism.jpg
MJY-EMO-020,/emagrecimento,lp_app_context,/imagensmedvimejoyhome/mejoy1-8.avif,4:5|9:16|1:1,right,Ver o app,Prometer so features presentes no workspace atual.,/images/emagrecimento/lp-pdf/app-mock-context.jpg
MJY-EMO-021,/emagrecimento,lp_story_portrait,/mejoyimagens/mejoy6.jpg,4:5|1:1|9:16,right,Comecar minha avaliacao,"Usar com copy de alivio, constancia e clareza.",/images/emagrecimento/lp-pdf/story-1.jpg
MJY-EMO-022,/emagrecimento,lp_story_wide,/imagensmedvimejoyhome/m29.avif,16:9|4:5|1:1,right,Continuar leitura,Bom para prova social silenciosa e apoio ao relatorio.,/images/emagrecimento/lp-pdf/story-wide-1.jpg
MJY-EMO-023,/triagem/emagrecimento,triage_hero_primary,/mejoyimagens/mejoy13.jpg,4:5|9:16|1:1,right,Continuar triagem,Nao alterar shell ou progresso; so o criativo.,/images/emagrecimento/medvi/hero-main.webp
MJY-EMO-024,/triagem/emagrecimento,triage_phone_proof,/mejoyimagens/mejoy14.jpg,4:5|9:16|1:1,right,Receber resultado,Reforcar contexto de tratamento sem prometer prescricao.,/images/emagrecimento/medvi/reviews-01.webp
MJY-EMO-025,/triagem/emagrecimento,triage_social_avatar_cluster,/mejoyimagens/mejoy6.jpg,1:1|4:5,center,Avancar com seguranca,Depoimento ou prova social sempre anonimos e auditaveis.,/images/emagrecimento/medvi/avatar-belinda.webp
MJY-EMO-026,/emagrecimento/relatorio,report_decision_primary,/mejoyimagens/mejoy10.jpg,4:5|1:1|16:9,left,Fechar meu programa agora,"Decisao preliminar, nunca garantia clinica.",/images/emagrecimento/medvi/hero-main.webp
MJY-EMO-027,/emagrecimento/relatorio,report_decision_support,/mejoyimagens/mejoy15.jpg,4:5|1:1|9:16,left,Falar no WhatsApp oficial,"Suporte oficial e continuidade, sem tom de plantao agressivo.",/images/emagrecimento/medvi/hero-secondary.webp
MJY-EMO-028,/emagrecimento/relatorio,report_social_proof_wide,/imagensmedvimejoyhome/m29.avif,16:9|4:5|1:1,center,Continuar com meu plano,Reservado para reel ou prova social sem quebrar checkout inline.,/images/emagrecimento/medvi/reviews-07.webp
MJY-EMO-029,/emagrecimento/checkout,checkout_consult_frame,/mejoyimagens/mejoy18.jpg,4:5|16:9|1:1,right,Pagar com seguranca,Consulta valida a conduta; pagamento nao substitui avaliacao.,/images/emagrecimento/medvi/journey-consulta.avif
MJY-EMO-030,/emagrecimento/checkout,checkout_support_app_continuity,/imagensmedvimejoyhome/mejoy1-8.avif,4:5|9:16|1:1,right,Acompanhar proximos passos,Liberacao de acesso condicionada a confirmacao real do pagamento.,/images/emagrecimento/medvi/support-whatsapp.avif
